,Periods,Price
0,1/12/1989,941.282
1,4/12/1989,941.282
2,5/12/1989,941.282
3,6/12/1989,941.282
4,7/12/1989,941.282
5,8/12/1989,941.282
6,11/12/1989,941.282
7,12/12/1989,941.282
8,13/12/1989,941.282
9,14/12/1989,941.282
10,15/12/1989,941.282
11,18/12/1989,941.282
12,19/12/1989,941.282
13,20/12/1989,941.282
14,21/12/1989,941.282
15,22/12/1989,941.282
16,25/12/1989,941.282
17,26/12/1989,941.282
18,27/12/1989,941.282
19,28/12/1989,941.282
20,29/12/1989,971.297
21,1/1/1990,971.297
22,2/1/1990,971.297
23,3/1/1990,971.297
24,4/1/1990,971.297
25,5/1/1990,971.297
26,8/1/1990,971.297
27,9/1/1990,971.297
28,10/1/1990,971.297
29,11/1/1990,971.297
30,12/1/1990,971.297
31,15/1/1990,971.297
32,16/1/1990,971.297
33,17/1/1990,971.297
34,18/1/1990,971.297
35,19/1/1990,971.297
36,22/1/1990,971.297
37,23/1/1990,971.297
38,24/1/1990,971.297
39,25/1/1990,971.297
40,26/1/1990,971.297
41,29/1/1990,971.297
42,30/1/1990,971.297
43,31/1/1990,925.695
44,1/2/1990,925.695
45,2/2/1990,925.695
46,5/2/1990,925.695
47,6/2/1990,925.695
48,7/2/1990,925.695
49,8/2/1990,925.695
50,9/2/1990,925.695
51,12/2/1990,925.695
52,13/2/1990,925.695
53,14/2/1990,925.695
54,15/2/1990,925.695
55,16/2/1990,925.695
56,19/2/1990,925.695
57,20/2/1990,925.695
58,21/2/1990,925.695
59,22/2/1990,925.695
60,23/2/1990,925.695
61,26/2/1990,925.695
62,27/2/1990,925.695
63,28/2/1990,885.751
64,1/3/1990,885.751
65,2/3/1990,885.751
66,5/3/1990,885.751
67,6/3/1990,885.751
68,7/3/1990,885.751
69,8/3/1990,885.751
70,9/3/1990,885.751
71,12/3/1990,885.751
72,13/3/1990,885.751
73,14/3/1990,885.751
74,15/3/1990,885.751
75,16/3/1990,885.751
76,19/3/1990,885.751
77,20/3/1990,885.751
78,21/3/1990,885.751
79,22/3/1990,885.751
80,23/3/1990,885.751
81,26/3/1990,885.751
82,27/3/1990,885.751
83,28/3/1990,885.751
84,29/3/1990,885.751
85,30/3/1990,832.006
86,2/4/1990,832.006
87,3/4/1990,832.006
88,4/4/1990,832.006
89,5/4/1990,832.006
90,6/4/1990,832.006
91,9/4/1990,832.006
92,10/4/1990,832.006
93,11/4/1990,832.006
94,12/4/1990,832.006
95,13/4/1990,832.006
96,16/4/1990,832.006
97,17/4/1990,832.006
98,18/4/1990,832.006
99,19/4/1990,832.006
100,20/4/1990,832.006
101,23/4/1990,832.006
102,24/4/1990,832.006
103,25/4/1990,832.006
104,26/4/1990,832.006
105,27/4/1990,832.006
106,30/4/1990,819.754
107,1/5/1990,819.754
108,2/5/1990,819.754
109,3/5/1990,819.754
110,4/5/1990,819.754
111,7/5/1990,819.754
112,8/5/1990,819.754
113,9/5/1990,819.754
114,10/5/1990,819.754
115,11/5/1990,819.754
116,14/5/1990,819.754
117,15/5/1990,819.754
118,16/5/1990,819.754
119,17/5/1990,819.754
120,18/5/1990,819.754
121,21/5/1990,819.754
122,22/5/1990,819.754
123,23/5/1990,819.754
124,24/5/1990,819.754
125,25/5/1990,819.754
126,28/5/1990,819.754
127,29/5/1990,819.754
128,30/5/1990,819.754
129,31/5/1990,905.816
130,1/6/1990,905.816
131,4/6/1990,905.816
132,5/6/1990,905.816
133,6/6/1990,905.816
134,7/6/1990,905.816
135,8/6/1990,905.816
136,11/6/1990,905.816
137,12/6/1990,905.816
138,13/6/1990,905.816
139,14/6/1990,905.816
140,15/6/1990,905.816
141,18/6/1990,905.816
142,19/6/1990,905.816
143,20/6/1990,905.816
144,21/6/1990,905.816
145,22/6/1990,905.816
146,25/6/1990,905.816
147,26/6/1990,905.816
148,27/6/1990,905.816
149,28/6/1990,905.816
150,29/6/1990,899.096
151,2/7/1990,899.096
152,3/7/1990,899.096
153,4/7/1990,899.096
154,5/7/1990,899.096
155,6/7/1990,899.096
156,9/7/1990,899.096
157,10/7/1990,899.096
158,11/7/1990,899.096
159,12/7/1990,899.096
160,13/7/1990,899.096
161,16/7/1990,899.096
162,17/7/1990,899.096
163,18/7/1990,899.096
164,19/7/1990,899.096
165,20/7/1990,899.096
166,23/7/1990,899.096
167,24/7/1990,899.096
168,25/7/1990,899.096
169,26/7/1990,899.096
170,27/7/1990,899.096
171,30/7/1990,899.096
172,31/7/1990,907.018
173,1/8/1990,907.018
174,2/8/1990,907.018
175,3/8/1990,907.018
176,6/8/1990,907.018
177,7/8/1990,907.018
178,8/8/1990,907.018
179,9/8/1990,907.018
180,10/8/1990,907.018
181,13/8/1990,907.018
182,14/8/1990,907.018
183,15/8/1990,907.018
184,16/8/1990,907.018
185,17/8/1990,907.018
186,20/8/1990,907.018
187,21/8/1990,907.018
188,22/8/1990,907.018
189,23/8/1990,907.018
190,24/8/1990,907.018
191,27/8/1990,907.018
192,28/8/1990,907.018
193,29/8/1990,907.018
194,30/8/1990,907.018
195,31/8/1990,821.844
196,3/9/1990,821.844
197,4/9/1990,821.844
198,5/9/1990,821.844
199,6/9/1990,821.844
200,7/9/1990,821.844
201,10/9/1990,821.844
202,11/9/1990,821.844
203,12/9/1990,821.844
204,13/9/1990,821.844
205,14/9/1990,821.844
206,17/9/1990,821.844
207,18/9/1990,821.844
208,19/9/1990,821.844
209,20/9/1990,821.844
210,21/9/1990,821.844
211,24/9/1990,821.844
212,25/9/1990,821.844
213,26/9/1990,821.844
214,27/9/1990,821.844
215,28/9/1990,734.905
216,1/10/1990,734.905
217,2/10/1990,734.905
218,3/10/1990,734.905
219,4/10/1990,734.905
220,5/10/1990,734.905
221,8/10/1990,734.905
222,9/10/1990,734.905
223,10/10/1990,734.905
224,11/10/1990,734.905
225,12/10/1990,734.905
226,15/10/1990,734.905
227,16/10/1990,734.905
228,17/10/1990,734.905
229,18/10/1990,734.905
230,19/10/1990,734.905
231,22/10/1990,734.905
232,23/10/1990,734.905
233,24/10/1990,734.905
234,25/10/1990,734.905
235,26/10/1990,734.905
236,29/10/1990,734.905
237,30/10/1990,734.905
238,31/10/1990,803.227
239,1/11/1990,803.227
240,2/11/1990,803.227
241,5/11/1990,803.227
242,6/11/1990,803.227
243,7/11/1990,803.227
244,8/11/1990,803.227
245,9/11/1990,803.227
246,12/11/1990,803.227
247,13/11/1990,803.227
248,14/11/1990,803.227
249,15/11/1990,803.227
250,16/11/1990,803.227
251,19/11/1990,803.227
252,20/11/1990,803.227
253,21/11/1990,803.227
254,22/11/1990,803.227
255,23/11/1990,803.227
256,26/11/1990,803.227
257,27/11/1990,803.227
258,28/11/1990,803.227
259,29/11/1990,803.227
260,30/11/1990,789.752
261,3/12/1990,789.752
262,4/12/1990,789.752
263,5/12/1990,789.752
264,6/12/1990,789.752
265,7/12/1990,789.752
266,10/12/1990,789.752
267,11/12/1990,789.752
268,12/12/1990,789.752
269,13/12/1990,789.752
270,14/12/1990,789.752
271,17/12/1990,789.752
272,18/12/1990,789.752
273,19/12/1990,789.752
274,20/12/1990,789.752
275,21/12/1990,789.752
276,24/12/1990,789.752
277,25/12/1990,789.752
278,26/12/1990,789.752
279,27/12/1990,789.752
280,28/12/1990,789.752
281,31/12/1990,806.004
282,1/1/1991,806.004
283,2/1/1991,806.004
284,3/1/1991,806.004
285,4/1/1991,806.004
286,7/1/1991,806.004
287,8/1/1991,806.004
288,9/1/1991,806.004
289,10/1/1991,806.004
290,11/1/1991,806.004
291,14/1/1991,806.004
292,15/1/1991,806.004
293,16/1/1991,806.004
294,17/1/1991,806.004
295,18/1/1991,806.004
296,21/1/1991,806.004
297,22/1/1991,806.004
298,23/1/1991,806.004
299,24/1/1991,806.004
300,25/1/1991,806.004
301,28/1/1991,806.004
302,29/1/1991,806.004
303,30/1/1991,806.004
304,31/1/1991,835.195
305,1/2/1991,835.195
306,4/2/1991,835.195
307,5/2/1991,835.195
308,6/2/1991,835.195
309,7/2/1991,835.195
310,8/2/1991,835.195
311,11/2/1991,835.195
312,12/2/1991,835.195
313,13/2/1991,835.195
314,14/2/1991,835.195
315,15/2/1991,835.195
316,18/2/1991,835.195
317,19/2/1991,835.195
318,20/2/1991,835.195
319,21/2/1991,835.195
320,22/2/1991,835.195
321,25/2/1991,835.195
322,26/2/1991,835.195
323,27/2/1991,835.195
324,28/2/1991,912.224
325,1/3/1991,912.224
326,4/3/1991,912.224
327,5/3/1991,912.224
328,6/3/1991,912.224
329,7/3/1991,912.224
330,8/3/1991,912.224
331,11/3/1991,912.224
332,12/3/1991,912.224
333,13/3/1991,912.224
334,14/3/1991,912.224
335,15/3/1991,912.224
336,18/3/1991,912.224
337,19/3/1991,912.224
338,20/3/1991,912.224
339,21/3/1991,912.224
340,22/3/1991,912.224
341,25/3/1991,912.224
342,26/3/1991,912.224
343,27/3/1991,912.224
344,28/3/1991,912.224
345,29/3/1991,885.059
346,1/4/1991,885.059
347,2/4/1991,885.059
348,3/4/1991,885.059
349,4/4/1991,885.059
350,5/4/1991,885.059
351,8/4/1991,885.059
352,9/4/1991,885.059
353,10/4/1991,885.059
354,11/4/1991,885.059
355,12/4/1991,885.059
356,15/4/1991,885.059
357,16/4/1991,885.059
358,17/4/1991,885.059
359,18/4/1991,885.059
360,19/4/1991,885.059
361,22/4/1991,885.059
362,23/4/1991,885.059
363,24/4/1991,885.059
364,25/4/1991,885.059
365,26/4/1991,885.059
366,29/4/1991,885.059
367,30/4/1991,891.704
368,1/5/1991,891.704
369,2/5/1991,891.704
370,3/5/1991,891.704
371,6/5/1991,891.704
372,7/5/1991,891.704
373,8/5/1991,891.704
374,9/5/1991,891.704
375,10/5/1991,891.704
376,13/5/1991,891.704
377,14/5/1991,891.704
378,15/5/1991,891.704
379,16/5/1991,891.704
380,17/5/1991,891.704
381,20/5/1991,891.704
382,21/5/1991,891.704
383,22/5/1991,891.704
384,23/5/1991,891.704
385,24/5/1991,891.704
386,27/5/1991,891.704
387,28/5/1991,891.704
388,29/5/1991,891.704
389,30/5/1991,891.704
390,31/5/1991,911.635
391,3/6/1991,911.635
392,4/6/1991,911.635
393,5/6/1991,911.635
394,6/6/1991,911.635
395,7/6/1991,911.635
396,10/6/1991,911.635
397,11/6/1991,911.635
398,12/6/1991,911.635
399,13/6/1991,911.635
400,14/6/1991,911.635
401,17/6/1991,911.635
402,18/6/1991,911.635
403,19/6/1991,911.635
404,20/6/1991,911.635
405,21/6/1991,911.635
406,24/6/1991,911.635
407,25/6/1991,911.635
408,26/6/1991,911.635
409,27/6/1991,911.635
410,28/6/1991,855.081
411,1/7/1991,855.081
412,2/7/1991,855.081
413,3/7/1991,855.081
414,4/7/1991,855.081
415,5/7/1991,855.081
416,8/7/1991,855.081
417,9/7/1991,855.081
418,10/7/1991,855.081
419,11/7/1991,855.081
420,12/7/1991,855.081
421,15/7/1991,855.081
422,16/7/1991,855.081
423,17/7/1991,855.081
424,18/7/1991,855.081
425,19/7/1991,855.081
426,22/7/1991,855.081
427,23/7/1991,855.081
428,24/7/1991,855.081
429,25/7/1991,855.081
430,26/7/1991,855.081
431,29/7/1991,855.081
432,30/7/1991,855.081
433,31/7/1991,895.189
434,1/8/1991,895.189
435,2/8/1991,895.189
436,5/8/1991,895.189
437,6/8/1991,895.189
438,7/8/1991,895.189
439,8/8/1991,895.189
440,9/8/1991,895.189
441,12/8/1991,895.189
442,13/8/1991,895.189
443,14/8/1991,895.189
444,15/8/1991,895.189
445,16/8/1991,895.189
446,19/8/1991,895.189
447,20/8/1991,895.189
448,21/8/1991,895.189
449,22/8/1991,895.189
450,23/8/1991,895.189
451,26/8/1991,895.189
452,27/8/1991,895.189
453,28/8/1991,895.189
454,29/8/1991,895.189
455,30/8/1991,892.068
456,2/9/1991,892.068
457,3/9/1991,892.068
458,4/9/1991,892.068
459,5/9/1991,892.068
460,6/9/1991,892.068
461,9/9/1991,892.068
462,10/9/1991,892.068
463,11/9/1991,892.068
464,12/9/1991,892.068
465,13/9/1991,892.068
466,16/9/1991,892.068
467,17/9/1991,892.068
468,18/9/1991,892.068
469,19/9/1991,892.068
470,20/9/1991,892.068
471,23/9/1991,892.068
472,24/9/1991,892.068
473,25/9/1991,892.068
474,26/9/1991,892.068
475,27/9/1991,892.068
476,30/9/1991,915.185
477,1/10/1991,915.185
478,2/10/1991,915.185
479,3/10/1991,915.185
480,4/10/1991,915.185
481,7/10/1991,915.185
482,8/10/1991,915.185
483,9/10/1991,915.185
484,10/10/1991,915.185
485,11/10/1991,915.185
486,14/10/1991,915.185
487,15/10/1991,915.185
488,16/10/1991,915.185
489,17/10/1991,915.185
490,18/10/1991,915.185
491,21/10/1991,915.185
492,22/10/1991,915.185
493,23/10/1991,915.185
494,24/10/1991,915.185
495,25/10/1991,915.185
496,28/10/1991,915.185
497,29/10/1991,915.185
498,30/10/1991,915.185
499,31/10/1991,929.747
500,1/11/1991,929.747
501,4/11/1991,929.747
502,5/11/1991,929.747
503,6/11/1991,929.747
504,7/11/1991,929.747
505,8/11/1991,929.747
506,11/11/1991,929.747
507,12/11/1991,929.747
508,13/11/1991,929.747
509,14/11/1991,929.747
510,15/11/1991,929.747
511,18/11/1991,929.747
512,19/11/1991,929.747
513,20/11/1991,929.747
514,21/11/1991,929.747
515,22/11/1991,929.747
516,25/11/1991,929.747
517,26/11/1991,929.747
518,27/11/1991,929.747
519,28/11/1991,929.747
520,29/11/1991,888.95
521,2/12/1991,888.95
522,3/12/1991,888.95
523,4/12/1991,888.95
524,5/12/1991,888.95
525,6/12/1991,888.95
526,9/12/1991,888.95
527,10/12/1991,888.95
528,11/12/1991,888.95
529,12/12/1991,888.95
530,13/12/1991,888.95
531,16/12/1991,888.95
532,17/12/1991,888.95
533,18/12/1991,888.95
534,19/12/1991,888.95
535,20/12/1991,888.95
536,23/12/1991,888.95
537,24/12/1991,888.95
538,25/12/1991,888.95
539,26/12/1991,888.95
540,27/12/1991,888.95
541,30/12/1991,888.95
542,31/12/1991,953.376
543,1/1/1992,953.376
544,2/1/1992,953.376
545,3/1/1992,953.376
546,6/1/1992,953.376
547,7/1/1992,953.376
548,8/1/1992,953.376
549,9/1/1992,953.376
550,10/1/1992,953.376
